Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
1,3,71,2,5,1,7,3,1,2,2,5,3,,8,5,3,1,50,2,1,,56,12,,,
1,2,37,2,4,2,5,2,1,2,3,1,3,OZ2757,20,20,3,1,76,1,6,24000,90,2,6,1,200000
1,2,41,2,1,1,6,2,1,2,0,1,3,,7,55,3,1,36,1,2,2500,10,7,2,,
1,3,27,1,1,1,6,1,1,2,1,1,3,LJ015,19,20,3,1,40,1,6,11000,20,1,2,1,5000
1,3,28,2,1,1,5,1,1,2,3,4,3,7C2302,19,35,3,1,31,2,3,1050,15,12,,,
1,3,29,2,4,1,5,2,1,2,3,1,3,7C2302,19,35,3,1,31,1,2,4300,15,2,6,1,29434
1,2,59,2,1,1,30,1,1,2,3,1,3,,19,10,3,1,50,2,2,10000,56,12,,,
1,1,30,2,1,1,6,3,1,2,2,"1,3",3,KE0051,17,40,2,1,50,1,6,15000,56,2,5,1,5000
1,3,29,2,1,1,7,1,1,2,2,6,3,7C2301,19,35,3,1,56,2,2,2700,5,12,,,
1,1,26,1,1,1,5,2,1,2,2,2,1,KE5885,16,33,2,1,28,2,1,,20,12,,,
1,1,25,2,1,1,60,2,1,2,2,1,3,KE622,8,10,2,1,,2,2,5000,15,12,,,
1,4,37,2,1,1,10,1,1,2,3,5,3,PR469,20,45,3,1,53,2,5,1200,30,12,,,
1,3,35,2,1,1,5,2,1,2,1,1,3,7C2401,21,55,4,1,58,2,1,,56,12,,,
1,2,45,1,1,2,5,0,1,2,7,1,3,OZ6763,21,20,4,2,,1,6,15000,70,1,6,,
1,4,41,1,1,1,10,0,1,2,3,5,3,PR469,20,45,3,1,53,2,5,1200,30,12,,,
1,1,47,1,1,1,16,0,1,2,3,1,3,,17,50,2,1,69,1,2,4000,10,7,4,1,72000
1,1,59,2,1,1,60,2,1,2,0,1,3,KE622,20,10,3,1,,2,2,5000,15,12,,,
1,1,54,1,1,2,60,0,1,2,1,1,3,KE629,18,5,3,1,82,1,2,4000,20,2,4,1,33054
1,3,63,2,1,1,5,2,1,2,1,1,3,7C2401,21,55,4,1,58,2,1,,56,12,,,
1,,68,2,1,4,7,3,1,2,0,5,3,,20,5,3,1,50,2,2,2400,5,12,,,
1,3,80,2,1,1,7,3,1,2,0,1,3,,20,5,3,1,50,2,1,,56,12,,,
1,2,35,1,1,1,12,1,1,2,5,1,3,OZ751,16,10,2,1,30,1,5,2000,30,2,4,2,50000
1,1,50,1,1,1,5,6,1,1,3,1,3,,20,20,3,2,50,1,5,,56,5,6,1,80000
1,4,30,1,1,1,7,1,1,2,2,1,1,CZ370,20,30,3,1,50,2,5,1000,56,12,,,
1,3,27,,1,1,15,0,1,2,0,1,3,040CT,19,35,3,1,40,1,5,2000,56,8,1,4,
1,4,42,1,1,1,3,3,1,2,2,5,2,JW892,17,45,2,1,20,1,1,,56,2,5,,
1,1,35,1,5,1,4,0,1,2,6,6,3,KE641,18,40,3,1,50,1,2,5900,10,4,4,2,
1,4,21,2,4,1,6,0,1,2,0,2,3,,11,45,4,1,27,2,3,1100,25,12,,,
1,1,23,2,4,4,100,1,1,2,2,1,3,KE631,20,35,3,1,56,1,6,16000,60,8,5,4,
1,3,29,1,1,2,5,3,1,2,2,6,3,,,,1,1,40,1,2,6000,20,2,4,,
1,,61,2,2,1,415,2,1,1,1,1,,,,,1,1,,2,5,3500,90,9,3,2,
1,1,22,2,1,1,10,0,1,2,1,6,1,,,,2,1,57,1,5,4500,80,3,3,4,
1,,,1,1,1,365,9,1,1,2,7,,,,,4,1,80,2,1,,56,2,3,2,
1,2,23,2,1,1,37,10,1,2,2,3,2,,21,0,4,1,52,1,5,1200,60,8,2,4,
1,4,23,1,1,3,365,1,1,2,1,2,1,,18,50,3,1,,1,5,,80,8,3,,
1,2,27,2,1,1,5,2,1,2,1,1,3,OZ757,20,20,3,1,,2,5,,56,12,,,
1,4,52,2,1,1,7,4,1,1,1,1,3,TG657,,,4,1,50,1,1,,90,7,2,1,120000
1,2,37,1,1,1,10,5,1,2,3,1,3,OZ709,8,20,4,1,40,1,1,,50,1,3,2,40000
1,2,22,1,1,3,180,0,1,2,0,7,1,OZ307,20,0,3,1,26,2,5,,56,8,3,4,
1,2,25,2,1,3,730,0,1,2,0,7,2,OZ178,21,0,4,1,27,1,5,4000,40,8,2,4,
1,1,27,2,1,1,6,2,1,1,0,1,4,KE629,18,5,3,1,,1,2,11000,30,2,3,,
