"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"156","1","4",27,"2","Korean","Leisure",15,1,"Others",3,"SA","Other","2","Economic",50,2,"Personal",30,"Other","00"
"157","2","4",20,"1","Foreign","Other",50,2,"City",2,"China","China","3","Other",67,2,"Public",40,"w/income","<=30"
"158","2","4",55,"1","Korean","Other",3,0,"City",5,"China","China","3","Economic",50,1,"Personal",60,"w/income","30~150"
"159","2","4",62,"1","Korean","Leisure",9,1,"City",1,"Japan","Japan","3","Economic",20,1,"Public",60,"no income","30~150"
"160","2","4",60,"2","Korean","Leisure",9,1,"City",2,"China","Japan","3","Economic",20,1,"Public",60,"no income","30~150"
"161","2","2",25,"1","Korean","Leisure",365,4,"City",2,"SA","Japan","3","Economic",36,1,"Personal",40,"no income","150~200>"
"162","2","2",53,"1","Foreign","Other",3,4,"City",4,"Others","Japan","2","Economic",35,1,"Personal",60,"w/income","30~150"
"163","2","1",19,"1","Korean","Other",2,2,"City",3,"Others","Japan","3","Economic",53,1,"Personal",60,"no income","30~150"
"164","2","2",27,"1","Korean","Other",7,1,"City",2,"Japan","Japan","3","Economic",40,1,"Public",20,"w/income","30~150"
"165","2","2",32,"1","Korean","Other",7,1,"City",6,"China","China","2","Economic",42,1,"Personal",40,"w/income","30~150"
"166","2","1",36,"1","Korean","Other",3,0,"City",2,"Others","Japan","2","Economic",53,1,"Personal",20,"w/income","150~200>"
"167","2","3",28,"1","Korean","Leisure",3,3,"City",4,"SA","Other","1","Economic",30,1,"Public",20,"w/income","30~150"
"168","2","1",37,"2","Korean","Other",2,0,"City",1,"SA","China","1","Economic",50,1,"Public",90,"w/income","30~150"
"169","2","4",66,"1","Korean","Other",90,1,"City",2,"Japan","Japan","2","Other",60,1,"Personal",20,"Other","30~150"
"170","2","4",29,"2","Korean","Leisure",4,1,"City",3,"Japan","Japan","2","Economic",45,2,"Personal",20,"w/income","30~150"
"171","2","4",40,"1","Korean","Other",3,0,"City",20,"China","China","2","Economic",55.25,1,"Personal",15,"w/income","30~150"
"172","2","1",19,"1","Korean","Other",3,1,"City",2,"SA","Japan","2","Economic",40,1,"Personal",90,"no income","30~150"
"173","2","1",23,"2","Korean","Other",99,0,"City",2,"China","Japan","2","Economic",45,1,"Public",60,"no income","30~150"
"174","2","2",42,"1","Korean","Leisure",3,10,"City",1,"Japan","Japan","2","Economic",36,1,"Personal",60,"w/income","30~150"
"175","2","1",35,"2","Korean","Leisure",5,2,"City",2,"Japan","Japan","3","Economic",20,1,"Public",90,"no income","30~150"
"176","2","4",22,"1","Korean","Leisure",5,0,"City",0,"China","Japan","3","Economic",33,1,"Public",40,"no income","30~150"
"177","2","4",23,"1","Korean","Leisure",365,1,"City",1,"Japan","Japan","2","Economic",45,2,"Public",10,"no income","<=30"
"178","2","4",67,"1","Korean","Other",30,0,"City",3,"Japan","Japan","2","Economic",40,1,"Public",60,"no income","30~150"
"179","2","1",50,"1","Korean","Other",2,1,"City",5,"China","Japan","2","Economic",53,1,"Public",40,"w/income","30~150"
"180","2","4",55,"1","Korean","Leisure",3,2,"City",0,"Japan","Japan","2","Economic",50,1,"Personal",30,"w/income","30~150"
"181","2","4",51,"1","Korean","Other",7,1,"City",4,"China","China","2","Economic",40,1,"Public",40,"w/income","30~150"
"182","2","4",62,"2","Korean","Leisure",4,6,"City",2,"China","China","2","Economic",55.25,1,"Public",20,"no income","30~150"
"183","2","1",46,"2","Korean","Leisure",4,3,"City",2,"Japan","Japan","2","Economic",53,1,"Personal",90,"no income","30~150"
"184","2","4",43,"1","Korean","Leisure",3,2,"City",0,"Japan","Japan","2","Economic",40,2,"Personal",15,"w/income","30~150"
