"","Airport","Airline","Age","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"265","GMP","Korean",61,"Korean","Leisure",5,20,"6",2,"Japan","Japan","2",60,1,"2",40,"no income","00"
"266","GMP","Korean",70,"Korean","Leisure",4,10,"6",0,"Japan","China","2",48,1,"1",120,"no income","<=30"
"267","GMP","LCC",26,"Korean","Other",6,3,"6",2,"SA","Other","1",50,1,"6",180,"Other","30~150"
"268","GMP","Foreign",51,"Foreign","Leisure",8,4,"7",6,"SA","Other","1",11,1,"6",120,"w/income","30~150"
"269","GMP","LCC",38,"Korean","Leisure",3,4,"7",0,"SA","Other","1",50,1,"4",90,"w/income","30~150"
"270","GMP","LCC",37,"Korean","Leisure",3,4,"7",1,"SA","Other","1",50,1,"6",90,"w/income","30~150"
"271","GMP","Korean",45,"Korean","Leisure",7,0,"8",4,"Japan","Japan","2",70,1,"1",60,"Other","150~200>"
"272","GMP","LCC",58,"Korean","Leisure",10,1,"8",5,"Japan","Japan","2",23,1,"2",40,"no income","<=30"
"273","GMP","Foreign",19,"Foreign","Leisure",4,1,"8",3,"Japan","China","3",55.25,1,"3",60,"no income","30~150"
"274","GMP","Foreign",27,"Foreign","Leisure",5,2,"8",2,"Others","China","3",86,1,"2",60,"w/income","30~150"
"275","GMP","Korean",60,"Korean","Other",365,0,"8",2,"Japan","Japan","3",36,1,"2",40,"no income","00"
"276","GMP","Foreign",45,"Foreign","Other",4,0,"8",7,"Others","China","3",87,1,"2",30,"w/income","00"
"277","GMP","Korean",37,"Foreign","Other",4,1,"8",2,"Others","Japan","3",70,1,"1",90,"w/income","00"
"278","GMP","Korean",50,"Korean","Leisure",5,1,"8",5,"Japan","Japan","2",40,1,"2",30,"no income","30~150"
"279","GMP","Korean",43,"Foreign","Leisure",5,4,"8",5,"SA","China","2",37,1,"2",60,"w/income","00"
"280","GMP","Korean",50,"Korean","Other",3,0,"8",10,"SA","Japan","3",50,1,"2",60,"w/income","30~150"
"281","GMP","Korean",32,"Korean","Other",5,1,"8",3,"Japan","Japan","3",70,1,"8",60,"w/income","30~150"
"282","GMP","Korean",35,"Foreign","Other",3,1,"8",15,"Japan","Japan","3",90,1,"2",70,"w/income","30~150"
"283","GMP","Foreign",48,"Korean","Other",7,4,"8",10,"China","China","3",78,2,"6",50,"w/income","30~150"
"284","GMP","Korean",49,"Korean","Leisure",4,1,"8",0,"Japan","Japan","2",53,1,"1",40,"w/income","00"
"285","GMP","Korean",44,"Korean","Other",7,28,"8",12,"Japan","Japan","3",58,1,"1",30,"w/income","150~200>"
"286","GMP","Korean",68,"Foreign","Other",8,2,"8",2,"Others","Japan","3",53,1,"3",50,"w/income","30~150"
"287","GMP","Korean",55,"Korean","Other",365,1,"8",20,"Others","China","2",100,1,"10",50,"w/income","150~200>"
"288","GMP","LCC",60,"Korean","Other",5,0,"8",12,"Japan","Japan","2",19,1,"2",20,"Other","30~150"
"289","GMP","LCC",45,"Foreign","Other",5,1,"8",1,"Japan","Japan","2",21,1,"6",60,"w/income","00"
"290","GMP","Foreign",35,"Foreign","Other",30,0,"8",15,"Others","Japan","3",200,1,"6",180,"no income","<=30"
"291","GMP","Foreign",24,"Foreign","Leisure",5,4,"8",1,"Japan","China","3",55.25,1,"5",30,"w/income","00"
"292","GMP","Korean",34,"Korean","Leisure",5,2,"8",2,"Japan","Japan","2",30,1,"1",40,"no income","30~150"
"293","GMP","Foreign",27,"Foreign","Other",3,0,"8",20,"Japan","Japan","3",45.2051282051282,1,"2",30,"Other","30~150"
"294","GMP","Foreign",55,"Foreign","Leisure",3,2,"8",2,"Japan","Japan","3",40,1,"5",30,"no income","30~150"
"295","GMP","Korean",43,"Foreign","Other",7,0,"8",10,"Japan","Japan","3",18,2,"8",120,"Other","00"
"296","GMP","Foreign",39,"Foreign","Other",1,1,"8",0,"China","China","3",55.25,1,"2",50,"w/income","30~150"
"297","GMP","Foreign",20,"Foreign","Leisure",3,2,"8",0,"Japan","Japan","3",40,2,"5",20,"no income","<=30"
"298","GMP","Foreign",22,"Foreign","Leisure",3,2,"8",0,"SA","Japan","3",40,2,"5",20,"no income","<=30"
"299","GMP","Foreign",26,"Foreign","Leisure",6,4,"8",0,"China","China","3",55.25,1,"8",180,"w/income","<=30"
"300","GMP","Foreign",66,"Foreign","Leisure",4,1,"8",1,"Japan","Japan","2",77,2,"5",20,"w/income","30~150"
"301","GMP","Foreign",41,"Korean","Other",7,1,"8",5,"China","China","2",33,1,"6",180,"w/income","30~150"
"302","GMP","Foreign",37,"Foreign","Other",99,0,"8",2,"Japan","Japan","2",42,1,"1",40,"no income","30~150"
"303","GMP","Foreign",50,"Foreign","Leisure",4,3,"8",7,"Japan","China","3",20,1,"6",50,"w/income","150~200>"
"304","GMP","Foreign",23,"Foreign","Leisure",4,3,"8",2,"Japan","China","3",20,1,"6",50,"no income","150~200>"
"305","GMP","Korean",28,"Korean","Leisure",4,20,"8",1,"Others","China","2",37,1,"3",40,"w/income","30~150"
"306","GMP","Korean",21,"Foreign","Other",99,2,"8",4,"Japan","China","2",52,1,"2",40,"no income","00"
"307","GMP","Korean",28,"Foreign","Other",365,2,"8",2,"China","China","2",52,1,"2",40,"w/income","30~150"
"308","GMP","Foreign",29,"Foreign","Leisure",3,3,"8",0,"China","China","3",55.25,2,"8",180,"w/income","<=30"
"309","GMP","Foreign",29,"Foreign","Other",3,3,"8",0,"China","China","3",55.25,2,"8",180,"w/income","<=30"
"310","GMP","Foreign",35,"Foreign","Leisure",4,2,"8",0,"China","China","3",55.25,2,"2",10,"w/income","30~150"
"311","GMP","Foreign",35,"Foreign","Other",2,1,"8",0,"Japan","Japan","3",40,1,"2",120,"w/income","30~150"
"312","GMP","Foreign",42,"Foreign","Other",1,1,"8",0,"Japan","Japan","3",40,1,"2",50,"w/income","30~150"
"313","GMP","Foreign",40,"Foreign","Other",7,1,"8",1,"Japan","Japan","3",50,1,"2",50,"w/income","00"
"314","GMP","Korean",47,"Foreign","Other",3,1,"8",0,"Japan","Japan","3",36,1,"2",40,"w/income","150~200>"
"315","GMP","Korean",40,"Foreign","Leisure",2,1,"8",0,"Japan","Japan","3",36,1,"6",60,"w/income","30~150"
"316","GMP","Korean",47,"Foreign","Leisure",5,1,"8",0,"Japan","Japan","2",53,2,"8",180,"no income","<=30"
"317","GMP","Foreign",52,"Korean","Leisure",365,1,"8",5,"Japan","Japan","2",45,1,"1",15,"w/income","30~150"
"318","GMP","Foreign",21,"Foreign","Leisure",6,2,"8",2,"China","Japan","3",45.2051282051282,1,"5",40,"no income","30~150"
"319","GMP","Foreign",32,"Foreign","Leisure",4,1,"8",0,"Japan","Japan","3",45,1,"2",45,"w/income","30~150"
"320","GMP","Foreign",42,"Foreign","Leisure",5,2,"8",7,"China","Japan","3",45.2051282051282,1,"5",40,"w/income","30~150"
"321","GMP","Foreign",43,"Foreign","Leisure",5,2,"8",1,"China","Japan","3",45.2051282051282,1,"5",40,"no income","30~150"
"322","GMP","Foreign",39,"Korean","Other",8,3,"8",10,"China","China","3",62,1,"1",45,"Other","<=30"
"323","GMP","Foreign",37,"Korean","Other",8,3,"8",6,"China","China","3",25,1,"1",45,"w/income","30~150"
"324","GMP","Korean",63,"Foreign","Other",28,1,"8",3,"China","Japan","3",53,2,"5",30,"w/income","150~200>"
"325","GMP","Foreign",61,"Foreign","Other",2,4,"8",15,"Others","Japan","3",17,1,"2",40,"w/income","150~200>"
