Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
2,2,53,1,5,2,3,4,1,2,4,2,2,1,35,1,2,15000,60,1,3
2,2,39,2,3,1,99,2,1,2,3,2,3,1,35,1,2,14000,30,2,4
2,1,19,1,1,3,2,2,1,2,3,2,3,1,53,1,2,20000,60,8,3
2,2,40,2,4,1,99,2,1,2,4,2,3,1,36,1,2,23000,60,11,3
2,2,23,1,1,1,7,0,1,2,1,2,3,1,30,1,5,1500,30,8,1
2,2,27,1,1,2,7,1,1,2,2,2,3,1,40,1,5,1500,20,2,2
2,2,26,1,3,1,5,1,1,2,2,2,3,1,40,1,5,1200,40,2,5
2,2,32,1,1,2,7,1,1,2,6,1,2,1,42,1,1,10000,40,2,2
2,1,36,1,1,2,3,0,1,2,2,2,2,1,53,1,2,12000,20,5,6
2,3,28,1,1,1,3,3,1,2,4,3,1,1,30,1,3,1050,20,2,3
2,1,37,2,1,4,2,0,1,1,1,1,1,1,50,1,5,1550,90,1,2
2,2,30,2,2,1,7,1,1,2,1,1,2,1,34,1,5,1500,60,2,1
2,2,53,1,1,2,180,1,1,2,3,1,2,1,30,1,3,1000,60,2,2
2,4,38,2,1,1,4,0,1,2,2,1,2,1,32,1,5,2000,20,4,2
2,3,29,2,1,2,4,3,1,2,1,2,2,1,24,1,3,1500,40,5,1
2,1,19,1,1,4,3,1,1,2,2,2,2,1,40,1,1,2000,90,8,3
2,1,23,2,1,3,99,0,1,2,2,2,2,1,45,1,6,10000,60,8,4
2,2,42,1,1,1,3,10,1,2,1,2,2,1,36,1,1,10000,60,2,2
2,4,67,1,1,4,30,0,1,2,3,2,2,1,40,1,6,2000,60,10,3
2,1,50,1,1,2,2,1,1,2,5,2,2,1,53,1,5,1500,40,2,4
2,4,55,1,1,1,3,2,1,2,0,2,2,1,50,1,2,15000,30,3,4
2,4,51,1,1,2,7,1,1,2,4,1,2,1,40,1,6,6000,40,2,5
2,1,60,2,1,1,7,1,1,2,2,2,1,1,100,1,6,6000,30,10,5
2,4,45,2,1,2,2,2,1,2,0,2,2,1,38,2,2,3500,10,9,4
2,4,44,1,1,1,3,2,1,2,0,2,2,1,40,2,5,1500,10,1,5
2,1,56,1,1,4,6,1,1,2,2,2,2,1,53,1,5,1150,30,10,2
2,4,32,1,1,1,3,1,1,2,2,2,2,1,30,1,2,7000,20,3,2
2,4,33,2,1,1,10,0,1,2,1,4,2,1,89,1,5,1150,50,2,1
2,4,31,1,1,1,8,1,1,2,2,1,2,1,120,1,1,12000,25,2,2
2,3,30,2,1,1,4,1,1,2,4,3,4,1,34,1,2,12000,30,2,1
