Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Korean,<=50,1,1,Leisure,5,2,1,2,1,3,3,1,52,1,7,6900,40,12,2
ICN,Korean,<=50,2,1,Business,5,1,1,2,5,3,2,1,60,1,7,8000,56,2,4
ICN,Korean,<=50,1,1,Leisure,9,0,1,2,2,3,2,1,60,1,7,6579,56,8,NA
ICN,Korean,>50,2,1,Leisure,5,4,1,1,2,3,2,1,70,1,2,9000,15,8,NA
ICN,Korean,>50,2,5,Leisure,7,3,1,2,2,3,3,1,50,2,1,6579,56,12,NA
ICN,Korean,<=50,2,4,Business,5,2,1,2,3,3,3,1,76,1,6,24000,90,2,6
ICN,Korean,<=50,2,1,Leisure,6,2,1,2,0,3,3,1,36,1,2,2500,10,7,2
ICN,Korean,<=50,1,1,Leisure,6,1,1,2,1,3,3,1,40,1,6,11000,20,1,2
ICN,Korean,<=50,2,1,Leisure,5,1,1,2,3,3,3,1,31,2,3,1050,15,12,NA
ICN,Korean,<=50,2,4,Leisure,5,2,1,2,3,3,3,1,31,1,2,4300,15,2,6
ICN,Korean,>50,2,1,Leisure,30,1,1,2,3,3,3,1,50,2,2,10000,56,12,NA
ICN,Korean,<=50,2,1,Leisure,6,3,1,2,2,3,2,1,50,1,6,15000,56,2,5
ICN,Korean,<=50,2,1,Leisure,7,1,1,2,2,3,3,1,56,2,2,2700,5,12,NA
ICN,Korean,<=50,1,1,Leisure,5,2,1,2,2,1,2,1,28,2,1,7000,20,12,NA
ICN,Korean,<=50,2,1,Leisure,60,2,1,2,2,3,2,1,52,2,2,5000,15,12,NA
ICN,Foreign,<=50,2,1,Leisure,10,1,1,2,3,3,3,1,53,2,5,1200,30,12,NA
ICN,Korean,<=50,2,1,Leisure,5,2,1,2,1,3,4,1,58,2,1,6579,56,12,NA
ICN,Korean,<=50,1,1,Business,5,0,1,2,7,3,4,2,52,1,6,15000,70,1,6
ICN,Foreign,<=50,1,1,Leisure,10,0,1,2,3,3,3,1,53,2,5,1200,30,12,NA
ICN,Korean,<=50,1,1,Leisure,16,0,1,2,3,3,2,1,69,1,2,4000,10,7,4
ICN,Korean,>50,2,1,Leisure,60,2,1,2,0,3,3,1,52,2,2,5000,15,12,NA
ICN,Korean,>50,1,1,Business,60,0,1,2,1,3,3,1,82,1,2,4000,20,2,4
ICN,Korean,>50,2,1,Leisure,5,2,1,2,1,3,4,1,58,2,1,6579,56,12,NA
ICN,Korean,>50,2,1,Leisure,7,3,1,2,0,3,3,1,50,2,1,6579,56,12,NA
ICN,Korean,<=50,1,1,Leisure,12,1,1,2,5,3,2,1,30,1,5,2000,30,2,4
ICN,Korean,<=50,1,1,Leisure,5,6,1,1,3,3,3,2,50,1,5,6579,56,5,6
ICN,Foreign,<=50,1,1,Leisure,7,1,1,2,2,1,3,1,50,2,5,1000,56,12,NA
ICN,Foreign,<=50,1,1,Leisure,3,3,1,2,2,2,2,1,20,1,1,6579,56,2,5
ICN,Korean,<=50,1,5,Leisure,4,0,1,2,6,3,3,1,50,1,2,5900,10,4,4
ICN,Foreign,<=50,2,4,Leisure,6,0,1,2,0,3,4,1,27,2,3,1100,25,12,NA
ICN,Korean,<=50,2,4,Business,100,1,1,2,2,3,3,1,56,1,6,16000,60,8,5
ICN,Korean,<=50,1,1,Business,5,3,1,2,2,3,1,1,40,1,2,6000,20,2,4
ICN,Korean,<=50,2,1,Leisure,10,0,1,2,1,1,2,1,57,1,5,4500,80,3,3
ICN,Korean,<=50,2,1,Leisure,37,10,1,2,2,2,4,1,52,1,5,1200,60,8,2
ICN,Foreign,<=50,1,1,Business,365,1,1,2,1,1,3,1,53,1,5,4500,80,8,3
ICN,Korean,<=50,2,1,Leisure,5,2,1,2,1,3,3,1,52,2,5,6579,56,12,NA
ICN,Foreign,>50,2,1,Leisure,7,4,1,1,1,3,4,1,50,1,1,8501,90,7,2
ICN,Korean,<=50,1,1,Leisure,10,5,1,2,3,3,4,1,40,1,1,1500,50,1,3
ICN,Korean,<=50,1,1,Business,180,0,1,2,0,1,3,1,26,2,5,6579,56,8,3
ICN,Korean,<=50,2,1,Business,730,0,1,2,0,2,4,1,27,1,5,4000,40,8,2
ICN,Korean,<=50,2,1,Leisure,6,2,1,1,0,4,3,1,117,1,2,11000,30,2,3
ICN,Korean,<=50,2,1,Leisure,4,4,1,2,1,3,3,1,52,1,6,15000,60,2,2
ICN,Korean,<=50,2,1,Leisure,5,7,1,2,2,3,3,1,70,1,1,6579,56,7,2
ICN,Korean,>50,1,1,Leisure,6,8,2,1,1,1,3,1,78,1,1,4550,39,7,2
